Year,Track Name,Artists,Popularity,Duration (min),Spotify URL,Main Artist,Genre
2014,Bailando - Spanish Version,"Enrique Iglesias, Descemer Bueno, Gente De Zona",51,4.06,https://open.spotify.com/track/0OozoN53XvHPASSHHkPGhR,Enrique Iglesias,"latin pop, latin"
2014,Eu Não Danço Contigo,Badoxa,51,4.3,https://open.spotify.com/track/2JbCxnh7t2FgljPV2ktlZP,Badoxa,"kizomba, zouk, kuduro"
2014,Unica Mulher,Anselmo Ralph,51,3.83,https://open.spotify.com/track/11W27zoLw834XGHwaSBdzw,Anselmo Ralph,"kizomba, zouk, kuduro"
2014,Morena,Tiago Bettencourt,48,4.02,https://open.spotify.com/track/0ZTonEYI8SWzRzqvxC20SZ,Tiago Bettencourt,fado
2014,Se Olhares para o Caminho,"Dillaz, SPLIFF",47,4.03,https://open.spotify.com/track/46ttON2E97GNgr1Awh6ELJ,Dillaz,"portuguese hip hop, punta"
2015,The Night We Met,Lord Huron,91,3.47,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU,Lord Huron,Unknown
2015,The Less I Know The Better,Tame Impala,88,3.61,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,Tame Impala,"neo-psychedelic, indie"
2015,The Hills,The Weeknd,88,4.04,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,The Weeknd,Unknown
2015,Adventure of a Lifetime,Coldplay,87,4.4,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,Coldplay,Unknown
2015,Love Yourself,Justin Bieber,87,3.9,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Unknown
2015,Sorry,Justin Bieber,87,3.35,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,Unknown
2015,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",87,4.49,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,Unknown
2015,Stressed Out,Twenty One Pilots,87,3.37,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Unknown
2015,Friends,Chase Atlantic,86,3.83,https://open.spotify.com/track/7uDUb37h7Xdhza1eWMkoJv,Chase Atlantic,Unknown
2015,Stitches,Shawn Mendes,86,3.45,https://open.spotify.com/track/5jsw9uXEGuKyJzs0boZ1bT,Shawn Mendes,Unknown
2015,Hymn for the Weekend,Coldplay,86,4.3,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy,Coldplay,Unknown
2015,Daddy Issues,The Neighbourhood,86,4.34,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Unknown
2015,nuts,"Lil Peep, rainy bear",86,1.42,https://open.spotify.com/track/4k3xDpAdBuM17mNNHhOZkK,Lil Peep,"emo rap, cloud rap"
2015,Don't,Bryson Tiller,85,3.3,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,Bryson Tiller,"trap soul, r&b"
2015,Ride,Twenty One Pilots,85,3.58,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,Twenty One Pilots,Unknown
2015,Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",84,3.65,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w,Robin Schulz,tropical house
2015,What Do You Mean?,Justin Bieber,84,3.43,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs,Justin Bieber,Unknown
2015,Borro Cassette,Maluma,84,3.46,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,Maluma,"reggaeton, latin, urbano latino"
2015,Can't Feel My Face,The Weeknd,84,3.56,https://open.spotify.com/track/22VdIZQfgXJea34mQxlt81,The Weeknd,Unknown
2015,Star Shopping,Lil Peep,84,2.37,https://open.spotify.com/track/1WbhIxkn5ECsOwUm795iX1,Lil Peep,"emo rap, cloud rap"
2015,Waiting For Love,Avicii,83,3.84,https://open.spotify.com/track/2P4OICZRVAQcYAV2JReRfj,Avicii,edm
2015,Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, Felix Jaehn",83,3.01,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy,OMI,Unknown
2015,Let It Happen,Tame Impala,83,7.79,https://open.spotify.com/track/2X485T9Z5Ly0xyaghN73ed,Tame Impala,"neo-psychedelic, indie"
2015,Alright,Kendrick Lamar,82,3.66,https://open.spotify.com/track/3iVcZ5G6tvkXZkZKlMpIUs,Kendrick Lamar,"hip hop, west coast hip hop"
2015,90210 (feat. Kacy Hill),"Travis Scott, Kacy Hill",82,5.65,https://open.spotify.com/track/51EC3I1nQXpec4gDk0mQyP,Travis Scott,rap
2015,Dreamin,PARTYNEXTDOOR,82,2.45,https://open.spotify.com/track/35sZOqVnTQNIGWGURrFdLh,PARTYNEXTDOOR,"dark r&b, r&b, trap soul"
2015,Doubt,Twenty One Pilots,82,3.19,https://open.spotify.com/track/57yL3161hUMuw06zzzUCHi,Twenty One Pilots,Unknown
2015,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","A$AP Rocky, Rod Stewart, Miguel, Mark Ronson",82,4.35,https://open.spotify.com/track/2N3U8uTYhjX2KwGT0pf5x0,A$AP Rocky,rap
2015,Love In The Dark,Adele,81,4.77,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY,Adele,"gospel, african gospel"
2015,Often,The Weeknd,81,4.15,https://open.spotify.com/track/4PhsKqMdgMEUSstTDAmMpg,The Weeknd,Unknown
2015,When We Were Young,Adele,79,4.85,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU,Adele,"gospel, african gospel"
2015,Don't Worry (with Ray Dalton) - Radio Edit,"Madcon, Ray Dalton",78,3.58,https://open.spotify.com/track/63CSozvYUEudPp12679UVF,Madcon,norwegian hip hop
2015,King,Olly Alexander (Years & Years),78,3.59,https://open.spotify.com/track/3AeicLnm55RqcXGBKYQolM,Olly Alexander (Years & Years),Unknown
2015,Space Song,Beach House,77,5.34,https://open.spotify.com/track/1ZgMsA55GIY7ICkQh5MILA,Beach House,dream pop
2015,Shake Body,Skales,76,3.48,https://open.spotify.com/track/1agLiWjSBYSTsKZLudOunC,Skales,"afrobeats, afrobeat, azonto, afropop, bongo flava"
2015,King Kunta,Kendrick Lamar,76,3.91,https://open.spotify.com/track/0N3W5peJUQtI4eyR6GJT5O,Kendrick Lamar,"hip hop, west coast hip hop"
2015,Por Fin Te Encontré,"Cali Y El Dandee, Juan Magán, Sebastian Yatra",74,4.18,https://open.spotify.com/track/2DAULesb1U4Qz4FSTZpEUJ,Cali Y El Dandee,"colombian pop, pop urbano"
2015,Que Sorte A Nossa - Ao Vivo,Matheus & Kauan,73,3.14,https://open.spotify.com/track/44pllb9f5QwcrD2kKc0gS0,Matheus & Kauan,"sertanejo, sertanejo universitário, arrocha, agronejo"
2015,Chuva de Arroz - Ao Vivo,Luan Santana,71,3.11,https://open.spotify.com/track/66rhnZizvTv2ufYpyHoWoW,Luan Santana,"sertanejo, sertanejo universitário, arrocha"
2015,Já Decidi,"Boy Teddy, Dj Ademar",55,3.77,https://open.spotify.com/track/751Xx8KrPrMO4ifcEoszAJ,Boy Teddy,"kizomba, zouk, kuduro"
2015,Vamos Ficar por Aqui,C4 Pedro,54,3.67,https://open.spotify.com/track/6sAukzDGVFKv3Z6dF3pU9X,C4 Pedro,"kizomba, zouk, kuduro, kompa"
2015,Lembra-te,Bispo,53,3.27,https://open.spotify.com/track/4kGx4Jl9U74iCUy9HfSnRl,Bispo,Unknown
2015,Number One,Boy Teddy,52,3.77,https://open.spotify.com/track/0rauOsfmlYgBGkWFc4NHft,Boy Teddy,"kizomba, zouk, kuduro"
2015,Voodoo,"GROGNation, Filipe Gonçalves",51,4.85,https://open.spotify.com/track/1L2q1yvrTiIQihgzgYthzs,GROGNation,portuguese hip hop
2015,Melhor de mim,Mariza,51,4.11,https://open.spotify.com/track/3tgtlIvnnPoOj7ba7yuF9A,Mariza,fado
2015,Tu És a Mulher,C4 Pedro,51,4.61,https://open.spotify.com/track/3AxKlhbCVMwrDbP4laSyys,C4 Pedro,"kizomba, zouk, kuduro, kompa"
2015,Que Safoda,Deejay Telio,51,3.28,https://open.spotify.com/track/11wQJiPeaQ01b09M7cifYn,Deejay Telio,"portuguese hip hop, kizomba, kuduro"
2015,Tudo Por Amor,"Calema, Kataleya",49,3.44,https://open.spotify.com/track/6olVZD1OdrCYnm3twQW0hT,Calema,"kizomba, zouk"
2015,Tipo do Ghetto,"Don G, Masta, Trini",47,3.26,https://open.spotify.com/track/5uq4pIQjsEV4pWXdSwgPad,Don G,"portuguese hip hop, kizomba"
2015,Dia De Folga,Ana Moura,45,2.63,https://open.spotify.com/track/1qziCx0BHzpd6LeSqx8vAq,Ana Moura,fado
2016,Starboy,"The Weeknd, Daft Punk",91,3.84,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,The Weeknd,Unknown
2016,One Dance,"Drake, Wizkid, Kyla",89,2.9,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0,Drake,rap
2016,Let Me Love You,"DJ Snake, Justin Bieber",89,3.43,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,DJ Snake,Unknown
2016,Closer,"The Chainsmokers, Halsey",89,4.08,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Unknown
2016,Say You Won't Let Go,James Arthur,88,3.52,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,James Arthur,soft pop
2016,Pink + White,Frank Ocean,88,3.08,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Unknown
2016,That's What I Like,Bruno Mars,88,3.44,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,Unknown
2016,goosebumps,Travis Scott,87,4.06,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,Travis Scott,rap
2016,Die For You,The Weeknd,87,4.34,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Unknown
2016,Cigarettes out the Window,TV Girl,87,3.32,https://open.spotify.com/track/6QeYSvYqYUsfBzsApbjDHO,TV Girl,Unknown
2016,7 Years,Lukas Graham,86,3.96,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk,Lukas Graham,Unknown
2016,Love On The Brain,Rihanna,86,3.73,https://open.spotify.com/track/5oO3drDxtziYU2H1X23ZIp,Rihanna,Unknown
2016,White Ferrari,Frank Ocean,86,4.15,https://open.spotify.com/track/2LMkwUfqC6S6s6qDVlEuzV,Frank Ocean,Unknown
2016,Ivy,Frank Ocean,85,4.15,https://open.spotify.com/track/2ZWlPOoWh0626oTaHrnl2a,Frank Ocean,Unknown
2016,Atlantis,Seafret,84,3.82,https://open.spotify.com/track/1Fid2jjqsHViMX6xNH70hE,Seafret,Unknown
2016,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",84,3.3,https://open.spotify.com/track/0vbtURX4qv1l7besfwmnD8,Mike Posner,Unknown
2016,Way down We Go,KALEO,84,3.56,https://open.spotify.com/track/0y1QJc3SJVPKJ1OvFmFqe6,KALEO,Unknown
2016,Don't Let Me Down,"The Chainsmokers, Daya",84,3.47,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK,The Chainsmokers,Unknown
2016,Are You With Me,Lost Frequencies,83,2.3,https://open.spotify.com/track/4255amV4enzl28KAn16rUO,Lost Frequencies,tropical house
2016,Into You,Ariana Grande,83,4.07,https://open.spotify.com/track/76FZM38RC8XaAjJ77CVTNe,Ariana Grande,pop
2016,9,Drake,83,4.26,https://open.spotify.com/track/1C7KSXR2GVxknex6I4ANco,Drake,rap
2016,Needed Me,Rihanna,83,3.19,https://open.spotify.com/track/4pAl7FkDMNBsjykPXo91B3,Rihanna,Unknown
2016,This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",82,3.26,https://open.spotify.com/track/1A8j067qyiNwQnZT0bzUpZ,Kungs,Unknown
2016,Train Wreck,James Arthur,82,3.48,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H,James Arthur,soft pop
2016,Can I Be Him,James Arthur,82,4.11,https://open.spotify.com/track/0VhgEqMTNZwYL1ARDLLNCX,James Arthur,soft pop
2016,PILLOWTALK,ZAYN,82,3.38,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1,ZAYN,Unknown
2016,Congratulations,"Post Malone, Quavo",82,3.67,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,Post Malone,Unknown
2016,Firestone,"Kygo, Conrad Sewell",81,4.53,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE,Kygo,tropical house
2016,sdp interlude,Travis Scott,81,3.19,https://open.spotify.com/track/4gh0ZnHzaTMT1sDga7Ek0N,Travis Scott,rap
2016,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,80,3.44,https://open.spotify.com/track/63CHa6rmamv9OsehkRD8oz,Phil Collins,soft rock
2016,Afro Trap Pt. 3 (Champions League),MHD,78,2.29,https://open.spotify.com/track/0D0np8Odu1PNamKfajA6AX,MHD,Unknown
2016,Reggaetón Lento (Bailemos),CNCO,78,3.71,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,CNCO,"reggaeton, latin"
2016,Hear Me Now,"Alok, Zeeba, Bruno Martini",78,3.25,https://open.spotify.com/track/39cmB3ZoTOLwOTq7tMNqKa,Alok,"brazilian bass, electronic, slap house, electro house"
2016,Olha A Explosão,MC Kevinho,77,2.7,https://open.spotify.com/track/6Q4foUefrAyCt8VxJFML56,MC Kevinho,"funk, brazilian funk, funk pop"
2016,La Gozadera (feat. Marc Anthony),"Gente De Zona, Marc Anthony",77,3.39,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9,Gente De Zona,"latin, latin dance"
2016,Ginza,J Balvin,77,2.85,https://open.spotify.com/track/2C2TGgFzrTRIOdQS1vUN5h,J Balvin,"reggaeton, latin"
2016,Me Rehúso,Danny Ocean,77,3.43,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,reggaeton
2016,Vente Pa' Ca (feat. Maluma),"Ricky Martin, Maluma",76,4.32,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,Ricky Martin,"latin pop, latin"
2016,"Eu, Você, O Mar e Ela",Luan Santana,72,3.12,https://open.spotify.com/track/000xYdQfIZ4pDmBGzQalKU,Luan Santana,"sertanejo, sertanejo universitário, arrocha"
2016,Como Faz Com Ela - Ao Vivo,Marília Mendonça,72,2.51,https://open.spotify.com/track/2Gvn46nwyQhUnQiFhlP7WX,Marília Mendonça,"sertanejo, sertanejo universitário, arrocha, forró"
2016,Mo Boy,Dillaz,59,3.87,https://open.spotify.com/track/4zww0H1u0yYvyBGixrRCb9,Dillaz,"portuguese hip hop, punta"
2016,Miúda Linda,Nelson Freitas,58,3.62,https://open.spotify.com/track/0ekgdkhtSRrulobfo6kMMY,Nelson Freitas,"kizomba, zouk, kompa, kuduro"
2016,Protagonista,Dillaz,56,4.04,https://open.spotify.com/track/6SpI6YKn2u2oX7jSzoKDDl,Dillaz,"portuguese hip hop, punta"
2016,Me Toca,Badoxa,55,4.27,https://open.spotify.com/track/4U1ky1E7qLEUuxGzHWxM4A,Badoxa,"kizomba, zouk, kuduro"
2016,Loucos (feat. Héber Marques),"Matias Damásio, Héber Marques",53,4.5,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU,Matias Damásio,"kizomba, zouk, kuduro"
2016,Amanhã Tou Melhor,Capitão Fausto,52,3.45,https://open.spotify.com/track/3I0w0pdn5s2W44gGmBxsa0,Capitão Fausto,Unknown
2016,Molexado,"Deejay Telio, Deedz B",51,3.31,https://open.spotify.com/track/4oc4a80TmaHtLcGhqwuONk,Deejay Telio,"portuguese hip hop, kizomba, kuduro"
2016,Saudade,Dillaz,49,5.11,https://open.spotify.com/track/0dLrhO7oCMp0hQvXAUgbaC,Dillaz,"portuguese hip hop, punta"
2016,Última Vez,Plutonio,49,4.3,https://open.spotify.com/track/208YK6z5VZkboUje64HsN7,Plutonio,portuguese hip hop
2016,Serias Tu,Força Suprema,47,5.74,https://open.spotify.com/track/0zNsrOSVp9lQ3wManM7570,Força Suprema,"portuguese hip hop, kizomba"
2017,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",92,3.01,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,Tyler,Unknown
2017,Shape of You,Ed Sheeran,91,3.9,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,soft pop
2017,Believer,Imagine Dragons,90,3.41,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Unknown
2017,Something Just Like This,"The Chainsmokers, Coldplay",90,4.12,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,Unknown
2017,Apocalypse,Cigarettes After Sex,90,4.84,https://open.spotify.com/track/1oAwsWBovWRIp7qLMGPIet,Cigarettes After Sex,dream pop
2017,Perfect,Ed Sheeran,90,4.39,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,soft pop
2017,Thunder,Imagine Dragons,88,3.12,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Unknown
2017,There's Nothing Holdin' Me Back,Shawn Mendes,88,3.32,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,Unknown
2017,Passionfruit,Drake,87,4.98,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz,Drake,rap
2017,Unforgettable,"French Montana, Swae Lee",87,3.9,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,French Montana,Unknown
2017,HUMBLE.,Kendrick Lamar,87,2.95,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,"hip hop, west coast hip hop"
2017,Sign of the Times,Harry Styles,87,5.68,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN,Harry Styles,Unknown
2017,Treat You Better,Shawn Mendes,87,3.13,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd,Shawn Mendes,Unknown
2017,Swim,Chase Atlantic,87,3.81,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx,Chase Atlantic,Unknown
2017,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",86,3.56,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,Kendrick Lamar,"hip hop, west coast hip hop"
2017,Beggin',Måneskin,86,3.53,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,Måneskin,Unknown
2017,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",86,3.5,https://open.spotify.com/track/1Q7EgiMOuwDcB0PJC6AzON,Daniel Caesar,Unknown
2017,Whatever It Takes,Imagine Dragons,85,3.35,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb,Imagine Dragons,Unknown
2017,Feel It Still,Portugal. The Man,85,2.72,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,Unknown
2017,ocean eyes,Billie Eilish,85,3.34,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9,Billie Eilish,Unknown
2017,Se Preparó,Ozuna,84,3.13,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,Ozuna,"reggaeton, trap latino, latin, urbano latino"
2017,Chantaje (feat. Maluma),"Shakira, Maluma",84,3.26,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,Shakira,latin pop
2017,PRIDE.,Kendrick Lamar,84,4.59,https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg,Kendrick Lamar,"hip hop, west coast hip hop"
2017,Teenage Fever,Drake,83,3.66,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo,Drake,rap
2017,Solo,Future,83,4.43,https://open.spotify.com/track/4lH6nENd1y81jp7Yt9lTBX,Future,rap
2017,Mercy,Shawn Mendes,82,3.48,https://open.spotify.com/track/0AS63m1wHv9n4VVRizK6Hc,Shawn Mendes,Unknown
2017,Downtown,"Anitta, J Balvin",79,3.22,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,Anitta,"brazilian pop, funk pop, funk carioca, funk, pagode baiano"
2017,Hasta el Amanecer,Nicky Jam,78,3.31,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS,Nicky Jam,"reggaeton, latin"
2017,Deixe Me Ir (feat. Pablo Martins) - Acústico 1Kilo,"1Kilo, Baviera, Knust, Pablo Martins",74,3.55,https://open.spotify.com/track/6JKkP9ABQzYZUFSKSVDKIc,1Kilo,brazilian hip hop
