Artist,Image URL
Imagine Dragons,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
Cigarettes After Sex,https://i.scdn.co/image/ab6761610000e5eb0e871e0389b9722cc12a4118
French Montana,https://i.scdn.co/image/ab6761610000e5ebadb2f8e09c3e3171956aafe4
Harry Styles,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
Daniel Caesar,https://i.scdn.co/image/ab6761610000e5ebe4d94f7cbebb17504c25d419
Måneskin,https://i.scdn.co/image/ab6761610000e5eb46d0db8a86fda630ec12401f
Portugal. The Man,https://i.scdn.co/image/ab6761610000e5ebe20c61457ea3c2fdef20c326
Billie Eilish,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
Shakira,https://i.scdn.co/image/ab6761610000e5eb2528c726e5ddb90a7197e527
Ozuna,https://i.scdn.co/image/ab6761610000e5eb463e10d5f1a533ddd6eb9a04
Future,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb
Anitta,https://i.scdn.co/image/ab6761610000e5eb29651ca8a99a50f86e36a699
Nicky Jam,https://i.scdn.co/image/ab6761610000e5eb45780f160ed896e42b6d17b0
1Kilo,https://i.scdn.co/image/ab6761610000e5eba68546e105fbd920adfbcc69
Matuê,https://i.scdn.co/image/ab6761610000e5eb654dc6b69f86aeb73527fc07
Mc IG,https://i.scdn.co/image/ab6761610000e5ebd9fee554b5ae9ad3427c0320
Mc Livinho,https://i.scdn.co/image/ab6761610000e5eb0c76b75c8206efcf0d9743da
MC G15,https://i.scdn.co/image/ab6761610000e5eb1e5e8ecf7f0a1e2d34f53486
Mc Don Juan,https://i.scdn.co/image/ab6761610000e5ebab559c0d48ef955cecd4555d
Master Jake,https://i.scdn.co/image/ab67616d0000b273fd6a8145d1af2348cc61b3b8
Richie Campbell,https://i.scdn.co/image/ab6761610000e5eb134a9d1cb98402a85633df42
Wet Bed Gang,https://i.scdn.co/image/ab6761610000e5ebb7ff724fa13fd8a6ffa8bc4e
Virgul,https://i.scdn.co/image/ab6761610000e5eb093dadb04b353c7fb792eabc
Xutos & Pontapés,https://i.scdn.co/image/ab6761610000e5eb690e266a081ffab5ad917d2d
Yasmine,https://i.scdn.co/image/ab6761610000e5ebaa746d111a2db66d664640b7
Piruka,https://i.scdn.co/image/ab6761610000e5eb8f67272d8f1c37f2f7a17389
Os Quatro e Meia,https://i.scdn.co/image/ab6761610000e5eb359a1b370b13e8abc3bb1df2
Lhast,https://i.scdn.co/image/ab6761610000e5ebc3c73eda936a922f69014f98
Lady Gaga,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
Sean Paul,https://i.scdn.co/image/ab6761610000e5eb60c3e9abe7327c0097738f22
Juice WRLD,https://i.scdn.co/image/ab6761610000e5eb23a60030944f7853c21565ef
Marshmello,https://i.scdn.co/image/ab6761610000e5eb53ca421f91678c26b4f15512
Anuel AA,https://i.scdn.co/image/ab6761610000e5eba23ceb177745632b517cb7b2
Calum Scott,https://i.scdn.co/image/ab6761610000e5ebbcf0a0b7d6dabc8f6376f045
6ix9ine,https://i.scdn.co/image/ab6761610000e5ebe496acc0275b2bfd673c21a9
Bad Bunny,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
MC L da Vinte,https://i.scdn.co/image/ab6761610000e5eba6139871abb2a96e06807856
Parcels,https://i.scdn.co/image/ab6761610000e5eb3f64ee564d3617f6a764f933
Xamã,https://i.scdn.co/image/ab6761610000e5eb367afe9e5b30fbb6a67a8807
Pixote,https://i.scdn.co/image/ab6761610000e5eba0b5dc1d9515ab7f88de2dd1
Mc Kevin,https://i.scdn.co/image/ab6761610000e5eb86190b5139bb76e03b0d35b1
Papillon,https://i.scdn.co/image/ab6761610000e5eb4cd54d077734a16334832a8d
DJ Dadda,https://i.scdn.co/image/ab6761610000e5ebd840830ba1d339cf9775fd31
Fernando Daniel,https://i.scdn.co/image/ab6761610000e5ebe1f42fc44dd278612a16f0b9
Rapaz 100 Juiz,https://i.scdn.co/image/ab6761610000e5eb769d24447a8d8ab924bedb99
Sam The Kid,https://i.scdn.co/image/ab6761610000e5ebeba156a6addf0c509cd2be36
Diogo Piçarra,https://i.scdn.co/image/ab6761610000e5ebdf4cd2f29932e75b3df885cf
T-Rex,https://i.scdn.co/image/ab6761610000e5eb96bd5be8cd1eee87a1c7ac9a
Bárbara Bandeira,https://i.scdn.co/image/ab6761610000e5ebe4d6f4b0c24cb67ac20d344a
Valas,https://i.scdn.co/image/ab6761610000e5eb7b7c2ea1c01d26ca06984b8c
Lewis Capaldi,https://i.scdn.co/image/ab6761610000e5ebea7538654040e553a7b0fc28
Chris Brown,https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728
Lil Tecca,https://i.scdn.co/image/ab6761610000e5eb5433d9d8519ad0635d8bd869
Dj Guuga,https://i.scdn.co/image/ab6761610000e5eb65b4040713172d81fb036f4b
Rauw Alejandro,https://i.scdn.co/image/ab6761610000e5eb5b50fae60980240b4ebd7808
Luis Fonsi,https://i.scdn.co/image/ab6761610000e5eb3981f9c0501750fffdb65001
Diego & Victor Hugo,https://i.scdn.co/image/ab6761610000e5eb713d2a5853dcb4e8dc06b6c9
Beéle,https://i.scdn.co/image/ab6761610000e5eb8e10d05db45e77a86256fc5d
Daddy Yankee,https://i.scdn.co/image/ab6761610000e5eb99a6ccc4aae5ae5404c9eb30
MC Kevin o Chris,https://i.scdn.co/image/ab6761610000e5eb43d35ed6d2c99a4cf13f6f6e
Gilsons,https://i.scdn.co/image/ab6761610000e5eb919bcf8dda8256a250d10d26
MC Du Black,https://i.scdn.co/image/ab6761610000e5eba235c19017317ee360cecd16
ANAVITÓRIA,https://i.scdn.co/image/ab6761610000e5ebb19a04810bc403323d359b5f
Pk,https://i.scdn.co/image/ab6761610000e5eba3a88318e12af7cd2ba31c8b
Mc Leozin,https://i.scdn.co/image/ab6761610000e5eb75334a22f10d47929ac30ad9
MC JottaPê,https://i.scdn.co/image/ab6761610000e5ebc2337effea65a4b0ed9bd8f1
NAPA,https://i.scdn.co/image/ab6761610000e5ebf6f6b95b59a789766168a078
Slow J,https://i.scdn.co/image/ab6761610000e5eb9bb4a919c5e5e9e9d6185186
Phoenix Rdc,https://i.scdn.co/image/ab6761610000e5ebf127cf690f0d35be62a82ad8
Nininho Vaz Maia,https://i.scdn.co/image/ab6761610000e5eb13ddef6b7f709eb4f9e4ece9
Dream Supplier,https://i.scdn.co/image/ab6761610000e5ebb6f0bf7ad35d39d2491c8d52
Charli xcx,https://i.scdn.co/image/ab6761610000e5eb936885667ef44c306483c838
Glass Animals,https://i.scdn.co/image/ab6761610000e5ebeb2cc96b0ed023c5e3675b6f
Hotel Ugly,https://i.scdn.co/image/ab6761610000e5eb939033cc36c08ab68b33f760
Ozzy Osbourne,https://i.scdn.co/image/ab6761610000e5ebb5b52f7e13f720c7a4856306
Miley Cyrus,https://i.scdn.co/image/ab6761610000e5ebb4ba86c361191d48cbeb4b32
Dua Lipa,https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d
Gracie Abrams,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
Don Miguelo,https://i.scdn.co/image/ab6761610000e5eb9961c1952af837f2171ce299
Don Toliver,https://i.scdn.co/image/ab6761610000e5eb62d52993e245cb161f89b01c
Boza,https://i.scdn.co/image/ab6761610000e5eb67e69bfa7e97cd5c2d35f032
Jay Wheeler,https://i.scdn.co/image/ab6761610000e5eb135da678561711d884cef203
Orochi,https://i.scdn.co/image/ab6761610000e5eb90b1775a323db4e9ec05b0dc
L7NNON,https://i.scdn.co/image/ab6761610000e5ebe2801585fbf65ad4d9b98c26
FRANKIEONTHEGUITAR,https://i.scdn.co/image/ab6761610000e5ebb6508c4756d8eb25bf33f72a
Soraia Ramos,https://i.scdn.co/image/ab6761610000e5ebe7b90c4f7580b812830015e8
Domingues,https://i.scdn.co/image/ab6761610000e5eb23e71e0f991b9d7fe7f6f538
Gama WNTD,https://i.scdn.co/image/ab6761610000e5eb492420b4d807a1b612487c1e
Van Zee,https://i.scdn.co/image/ab6761610000e5eb6abc3d3a850cf36597e53922
Gson,https://i.scdn.co/image/ab6761610000e5eb491b086a54db954e33fab0ac
Yuri NR5,https://i.scdn.co/image/ab6761610000e5eb068b236e9249d89458d90b46
X.L.T,https://i.scdn.co/image/ab6761610000e5eb5c6762aca86e159a8487da8a
Olivia Rodrigo,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4
Metallica,https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44
Tate McRae,https://i.scdn.co/image/ab6761610000e5eb0ac65fc565cc8b59d561ee34
Tory Lanez,https://i.scdn.co/image/ab6761610000e5ebbd5d3e1b363c3e26710661c3
Elton John,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970
Farruko,https://i.scdn.co/image/ab6761610000e5eb7d36b670eff30cc4de53f67c
Grupo Menos É Mais,https://i.scdn.co/image/ab6761610000e5eba07c8e41774e3bd6b20f13e3
MeditarSons,https://i.scdn.co/image/ab6761610000e5eb176959abf5757c73d2ab163d
Morad,https://i.scdn.co/image/ab6761610000e5eb78be1444357da95706de5d12
Francis Mercier,https://i.scdn.co/image/ab6761610000e5eb740e23d097c1684c9d9a8c26
MC Cabelinho,https://i.scdn.co/image/ab6761610000e5eb5c2f591f657e5256c5baa816
Teto,https://i.scdn.co/image/ab6761610000e5eb62f0237b5577c7c670457267
Mc Poze do Rodo,https://i.scdn.co/image/ab6761610000e5eb6bb2891aba26ae4298634e4b
Julinho Ksd,https://i.scdn.co/image/ab6761610000e5ebc67b292ac7cc6b8bd23f51ba
Maninho,https://i.scdn.co/image/ab6761610000e5ebfeafb7b078dfa8e8591173cb
Bárbara Tinoco,https://i.scdn.co/image/ab6761610000e5eba7bc530afc400b73234d8bcb
Djo,https://i.scdn.co/image/ab6761610000e5eb5e3fb71d4358290eda3a43f9
David Guetta,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f
SZA,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf
Noah Kahan,https://i.scdn.co/image/ab6761610000e5eb8c52b10e110f62fe45761590
OneRepublic,https://i.scdn.co/image/ab6761610000e5eb587687df50a967731901fcc2
