Year,Track Name,Artists,Popularity,Duration (min),Spotify URL
2015,Que Sorte A Nossa - Ao Vivo,Matheus & Kauan,73,3.14,https://open.spotify.com/track/44pllb9f5QwcrD2kKc0gS0
2015,Chuva de Arroz - Ao Vivo,Luan Santana,71,3.11,https://open.spotify.com/track/66rhnZizvTv2ufYpyHoWoW
2015,Já Decidi,"Boy Teddy, Dj Ademar",55,3.77,https://open.spotify.com/track/751Xx8KrPrMO4ifcEoszAJ
2015,Vamos Ficar por Aqui,C4 Pedro,54,3.67,https://open.spotify.com/track/6sAukzDGVFKv3Z6dF3pU9X
2015,Lembra-te,Bispo,53,3.27,https://open.spotify.com/track/4kGx4Jl9U74iCUy9HfSnRl
2015,Number One,Boy Teddy,52,3.77,https://open.spotify.com/track/0rauOsfmlYgBGkWFc4NHft
2015,Voodoo,"GROGNation, Filipe Gonçalves",51,4.85,https://open.spotify.com/track/1L2q1yvrTiIQihgzgYthzs
2015,Melhor de mim,Mariza,51,4.11,https://open.spotify.com/track/3tgtlIvnnPoOj7ba7yuF9A
2015,Tu És a Mulher,C4 Pedro,51,4.61,https://open.spotify.com/track/3AxKlhbCVMwrDbP4laSyys
2015,Que Safoda,Deejay Telio,51,3.28,https://open.spotify.com/track/11wQJiPeaQ01b09M7cifYn
2015,Tudo Por Amor,"Calema, Kataleya",49,3.44,https://open.spotify.com/track/6olVZD1OdrCYnm3twQW0hT
2015,Tipo do Ghetto,"Don G, Masta, Trini",47,3.26,https://open.spotify.com/track/5uq4pIQjsEV4pWXdSwgPad
2015,Dia De Folga,Ana Moura,45,2.63,https://open.spotify.com/track/1qziCx0BHzpd6LeSqx8vAq
2016,Starboy,"The Weeknd, Daft Punk",91,3.84,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
2016,One Dance,"Drake, Wizkid, Kyla",89,2.9,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
2016,Let Me Love You,"DJ Snake, Justin Bieber",89,3.43,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
2016,Closer,"The Chainsmokers, Halsey",89,4.08,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
2016,Say You Won't Let Go,James Arthur,88,3.52,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
2016,Pink + White,Frank Ocean,88,3.08,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8
2016,That's What I Like,Bruno Mars,88,3.44,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
2016,goosebumps,Travis Scott,87,4.06,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
2016,Die For You,The Weeknd,87,4.34,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
2016,Cigarettes out the Window,TV Girl,87,3.32,https://open.spotify.com/track/6QeYSvYqYUsfBzsApbjDHO
2016,7 Years,Lukas Graham,86,3.96,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
2016,Love On The Brain,Rihanna,86,3.73,https://open.spotify.com/track/5oO3drDxtziYU2H1X23ZIp
2016,White Ferrari,Frank Ocean,86,4.15,https://open.spotify.com/track/2LMkwUfqC6S6s6qDVlEuzV
2016,Ivy,Frank Ocean,85,4.15,https://open.spotify.com/track/2ZWlPOoWh0626oTaHrnl2a
2016,Atlantis,Seafret,84,3.82,https://open.spotify.com/track/1Fid2jjqsHViMX6xNH70hE
2016,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",84,3.3,https://open.spotify.com/track/0vbtURX4qv1l7besfwmnD8
2016,Way down We Go,KALEO,84,3.56,https://open.spotify.com/track/0y1QJc3SJVPKJ1OvFmFqe6
2016,Don't Let Me Down,"The Chainsmokers, Daya",84,3.47,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
2016,Are You With Me,Lost Frequencies,83,2.3,https://open.spotify.com/track/4255amV4enzl28KAn16rUO
2016,Into You,Ariana Grande,83,4.07,https://open.spotify.com/track/76FZM38RC8XaAjJ77CVTNe
2016,9,Drake,83,4.26,https://open.spotify.com/track/1C7KSXR2GVxknex6I4ANco
2016,Needed Me,Rihanna,83,3.19,https://open.spotify.com/track/4pAl7FkDMNBsjykPXo91B3
2016,This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",82,3.26,https://open.spotify.com/track/1A8j067qyiNwQnZT0bzUpZ
2016,Train Wreck,James Arthur,82,3.48,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
2016,Can I Be Him,James Arthur,82,4.11,https://open.spotify.com/track/0VhgEqMTNZwYL1ARDLLNCX
2016,PILLOWTALK,ZAYN,82,3.38,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
2016,Congratulations,"Post Malone, Quavo",82,3.67,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
2016,Firestone,"Kygo, Conrad Sewell",81,4.53,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE
2016,sdp interlude,Travis Scott,81,3.19,https://open.spotify.com/track/4gh0ZnHzaTMT1sDga7Ek0N
2016,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,80,3.44,https://open.spotify.com/track/63CHa6rmamv9OsehkRD8oz
2016,Afro Trap Pt. 3 (Champions League),MHD,78,2.29,https://open.spotify.com/track/0D0np8Odu1PNamKfajA6AX
2016,Reggaetón Lento (Bailemos),CNCO,78,3.71,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
2016,Hear Me Now,"Alok, Zeeba, Bruno Martini",78,3.25,https://open.spotify.com/track/39cmB3ZoTOLwOTq7tMNqKa
2016,Olha A Explosão,MC Kevinho,77,2.7,https://open.spotify.com/track/6Q4foUefrAyCt8VxJFML56
2016,La Gozadera (feat. Marc Anthony),"Gente De Zona, Marc Anthony",77,3.39,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9
2016,Ginza,J Balvin,77,2.85,https://open.spotify.com/track/2C2TGgFzrTRIOdQS1vUN5h
2016,Me Rehúso,Danny Ocean,77,3.43,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
2016,Vente Pa' Ca (feat. Maluma),"Ricky Martin, Maluma",76,4.32,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
2016,"Eu, Você, O Mar e Ela",Luan Santana,72,3.12,https://open.spotify.com/track/000xYdQfIZ4pDmBGzQalKU
2016,Como Faz Com Ela - Ao Vivo,Marília Mendonça,72,2.51,https://open.spotify.com/track/2Gvn46nwyQhUnQiFhlP7WX
2016,Mo Boy,Dillaz,59,3.87,https://open.spotify.com/track/4zww0H1u0yYvyBGixrRCb9
2016,Miúda Linda,Nelson Freitas,58,3.62,https://open.spotify.com/track/0ekgdkhtSRrulobfo6kMMY
2016,Protagonista,Dillaz,56,4.04,https://open.spotify.com/track/6SpI6YKn2u2oX7jSzoKDDl
2016,Me Toca,Badoxa,55,4.27,https://open.spotify.com/track/4U1ky1E7qLEUuxGzHWxM4A
2016,Loucos (feat. Héber Marques),"Matias Damásio, Héber Marques",53,4.5,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU
2016,Amanhã Tou Melhor,Capitão Fausto,52,3.45,https://open.spotify.com/track/3I0w0pdn5s2W44gGmBxsa0
2016,Molexado,"Deejay Telio, Deedz B",51,3.31,https://open.spotify.com/track/4oc4a80TmaHtLcGhqwuONk
2016,Saudade,Dillaz,49,5.11,https://open.spotify.com/track/0dLrhO7oCMp0hQvXAUgbaC
2016,Última Vez,Plutonio,49,4.3,https://open.spotify.com/track/208YK6z5VZkboUje64HsN7
